
21,1190858982010826752,"ප්‍රශ්ණ තියෙන්න පුළුවන් ඕන තරම්. නමුත් ඒ අනිත් පාර්ශවයට එයාගෙ ජීවිතේ නොමැකෙන්නම කැලලක් ඉතුරු වෙනවා නම් හෝ ජීවිතේ නැති කරගන්න තැනට පත් වෙනවා හෝ නැති කර ගන්නවා නම් මොකක්ද ඒ ඇති කර ගත්ත සම්බන්දේ තෙරුම.

මේ කැරි සමාජෙත් කරන්නේ ඌට උදව්වක් වෙනවට වඩා ඌව තවත් පල්ලෙහාටම දාන එක.👇",2019-11-03 05:11:21
22,1190820832630706177,කොට තිබුනි. යුද්ධය අවසන් වූ පසු අයි.එස් මොඩලයේ ජිහාඩ් කල්ලියක් 'ෆෝම්' කිරීම සඳහා යොදා ගත්තේ මෙම තරුණයන් ය. සහරාන් ඇතුලු පිරිසට අවි පුහුණුව දුන්නේ 'සින්න තම්බි'නම් පිල්ලෙයාන් පිලේ ‌ජ්‍යෙෂ්ඨ සාමාජිකයෙකි. සහරාන්ගේ සිය දිවි නසා ගත් මලයා සින්න තම්බි හඳුනාගත්තේ මඩකලපු බන්ධනාගාරයේ දීය.,2019-11-03 02:39:45
23,1190691599690301440,"@wishawanath අනිවාර්යයෙන් අපට පක තමා. ඔය ලයිට් එහෙම මහ දවාලෙයි , රෑටයි ෆ්ලෑෂ් වේවි යද්දී අපට පක තමා.",2019-11-02 18:06:14
24,1190657785207222272,@MaheshNegombo ඔව් මේකෙත් ඉන්නවා එහෙම පොන්න ලපයි සිපයි ටිකක් 😂🌺,2019-11-02 15:51:52
25,1190620108906885125,"ආදරයේ
උණුසුම

ලඟ
දුක
දැනෙන්නෑලූ

හම්මේ
#හුත්ත
තමා",2019-11-02 13:22:09
26,1190609961702887424,@dead_mans_creed කැමරඑල්කේ එකේ එකාට නම් කැරි සල්ලියක් තියෙන්නේ. ඌට ලක්ශ දෙක ගේමක් නැතුව ඇති. ඔව් ඉතින් තරුන පරපුර reach කරන්න නම් social media තමා. අපේ උන් පත්තර බල බල ඉන්නේ නෑනේ දැන්.,2019-11-02 12:41:49
27,1190579981572722688,@raviyasas @TharushaPeiris ගණිකාව හොදයි අනුරයාට වඩා,2019-11-02 10:42:42
28,1190525653558317057,@chamod03 මෙයාට නම් බඩුව කිව්වා😂,2019-11-02 07:06:49
29,1190469606860902400,අන්න උඹලා හම්බයෝ කියලා බණින කෙනෙක් කෝටි ගණනක් වටිනා අක්කරයකට වැඩි ඉඩමක් මහනුවර රෝහලට පරිත්‍යාග කරලලු.,2019-11-02 03:24:06
30,1190345157175959553,@HananDeen ඔයා තම්බි ද? #එලඑලඑල,2019-11-01 19:09:35
31,1190343915305455616,යු.එන්.පී.   සමනල් පැටියෙක් එහෙම නැද්ද අපිත් වේලෙනව....ඊය...ඊටවඩා හොදයි කලිසම ගලවගෙන තල්ගහක් සිගේ පල්ලෙහාට රෑටනව....පොන්න යු.එන්.පී,2019-11-01 19:04:39
32,1190336378673909760,@TheToka920 @dead_mans_creed ඔව්. උඹ ආවේ නෑනේ. සෝනයි මායි කැරි ආතල් එකක් ගත්තේ,2019-11-01 18:34:42
33,1190278612785627136,@imtutuu තෝනේ ගොං බඩුව😌😌,2019-11-01 14:45:10
34,1190278195292979202,@___KaneE___ බඩුව 😘,2019-11-01 14:43:30
35,1190229976634707969,"ආපහු සැරයක්..🙈
ෆයි රේට්ස් ඔෆ් ද කැරි  බියන් බලන ගමං.",2019-11-01 11:31:54
36,1190189433750016001,අර පොන්න වේසිකපුතාලා දෙන්නාව ඇයිබන් තාම ටීම් එකේ තියන් ඉන්නේ.. තේරිම් කමිටුව හුත්තෝ උබට ඇස් නෙද්ද පරයා.. පාකිස්ටාන් ටුවර් එකේ ගහපු උන් දෙන්නාව ඩ්‍රොප් කරලා මේ සක්කිලි දෙන්නාව දාලා තියන්නේ.. #AUSvSL,2019-11-01 08:50:48
